asiakas,asiakasnimi,email,aikaleima
1000010,HENKILO1,henkilo1@broman.fi,2022-01-18 19:18:35.95
1000033,HENKILO5,henkilo5@broman.fi,2019-01-01 12:00:00
1001568,HENKILO5,henkilo5@broman.fi,2019-12-01 12:00:00
1007753,HENKILO6,henkilo6@broman.fi,2019-01-01 12:00:00
1000011,HENKILO2,henkilo2@broman.fi,2018-01-01 12:00:00
1000015,HENKILO3,henkilo3@broman.fi,2018-01-01 12:00:00
1000023,HENKILO4,henkilo4@broman.fi,2018-01-01 12:00:00
1000012,HENKILO2,henkilo2@broman.fi,2020-01-01 12:00:00
1000017,HENKILO3,henkilo3@broman.fi,2020-01-01 12:00:00
1005342,HENKILO4,henkilo4@broman.fi,2020-01-01 12:00:00
1000013,HENKILO2,henkilo2@broman.fi,2022-01-01 12:00:00
1000031,HENKILO5,henkilo5@broman.fi,2018-01-01 12:00:00
1007751,HENKILO6,henkilo6@broman.fi,2018-01-01 12:00:00
1007945,NIMI 53794571,1007945@joku.fi,2022-01-01 12:00:00
1999922,NIMI 541054,1999922@joku.fi,2021-03-08 19:13:11.845
4000007,NIMI 8843465,4000007@joku.fi,2020-09-11 19:13:11.845
1999911,NIMI 4710001184,1999911@joku.fi,2021-11-02 19:13:11.845
1999924,NIMI 44534259,1999924@joku.fi,2021-12-21 19:13:11.845
1003377,NIMI 86337738,1003377@joku.fi,2020-06-16 19:13:11.845
1008483,NIMI 73848359,1008483@joku.fi,2021-07-08 19:13:11.845
1000025,NIMI 302532,1000025@joku.fi,2020-07-08 19:13:11.845
1999921,NIMI 93029,1999921@joku.fi,2021-06-02 19:13:11.845
1000028,NIMI 832849,1000028@joku.fi,2020-06-08 19:13:11.845
1007755,NIMI 93775583,1007755@joku.fi,2020-11-12 19:13:11.845
1003380,NIMI 49338086,1003380@joku.fi,2022-01-06 19:13:11.845
1003972,NIMI 52397254,1003972@joku.fi,2021-03-04 19:13:11.845
1007754,NIMI 352715,1007754@joku.fi,2021-05-28 19:13:11.845
1000024,NIMI 602441,1000024@joku.fi,2021-05-09 19:13:11.845
1007703,NIMI 64770338,1007703@joku.fi,2020-12-16 19:13:11.845
1000019,NIMI 271966,1000019@joku.fi,2021-11-30 19:13:11.845
1999913,NIMI 3110001350,1999913@joku.fi,2020-10-24 19:13:11.845
1999914,NIMI 110001440,1999914@joku.fi,2021-02-02 19:13:11.845
1006747,NIMI 96674729,1006747@joku.fi,2020-08-17 19:13:11.845
1007742,NIMI 91774222,1007742@joku.fi,2021-11-02 19:13:11.845
1007752,NIMI 28775286,1007752@joku.fi,2022-01-06 19:13:11.845
1007365,NIMI 4736583,1007365@joku.fi,2021-11-09 19:13:11.845
1005086,NIMI 37508671,1005086@joku.fi,2021-08-27 19:13:11.845
1007741,NIMI 47774138,1007741@joku.fi,2022-01-12 19:13:11.845
1007744,NIMI 81774499,1007744@joku.fi,2021-01-29 19:13:11.845
1005009,NIMI 75500930,1005009@joku.fi,2021-02-03 19:13:11.845
1007743,NIMI 2777432,1007743@joku.fi,2020-08-07 19:13:11.845
1003538,NIMI 13353892,1003538@joku.fi,2021-06-18 19:13:11.845
1999912,NIMI 2010001216,1999912@joku.fi,2021-11-17 19:13:11.845
1000014,NIMI 361474,1000014@joku.fi,2021-11-05 19:13:11.845
1000020,NIMI 622030,1000020@joku.fi,2020-10-02 19:13:11.845
1000022,NIMI 952225,1000022@joku.fi,2020-07-31 19:13:11.845
1000021,NIMI 392154,1000021@joku.fi,2020-11-28 19:13:11.845
1004204,NIMI 36420432,1004204@joku.fi,2022-01-13 19:13:11.845
